episode,rewards_total
1,81.93904212167183
2,81.76128737077886
3,82.25847819265046
4,67.38432353255433
5,75.90790117975729
6,61.51553700454114
7,67.30667547666908
8,67.12389699162354
9,67.0080105541612
10,64.01667937133035
11,76.31171581097911
12,66.86191880381806
13,67.30940858877165
14,63.880866920352275
15,55.63595448117614
16,52.784790785196904
17,55.30425348204996
18,64.00662662029958
19,73.0070667995693
20,76.34250185591526
21,84.98628146331689
22,87.83507281426454
23,102.67568543994014
24,96.91768165089401
25,111.11117570777832
26,111.93742106347236
27,104.73398867869736
28,75.5920054464364
29,70.31258583049002
30,58.788286610250424
31,58.144758390055316
32,85.41349386972179
33,97.72574513509956
34,101.48480087396614
35,130.03520879967485
36,109.50152408260934
37,98.38249919863924
38,107.48328395422777
39,110.65508026590834
40,107.08748032846115
41,112.50728890038039
42,121.28726728695112
43,114.80853130320962
44,75.86429552609562
45,93.28268774329996
46,140.49708122675253
47,148.1145993717447
48,130.75266183263324
49,89.3245811778303
50,95.25850403539393
51,128.24279991735753
52,163.202217016826
53,121.8772312227962
54,173.47302823887796
55,108.07386537241234
56,109.97724766596801
57,103.83864081012426
58,90.52993039393142
59,78.9340682752587
60,76.03661921800446
61,79.32808829274211
62,88.21846197990173
63,73.05708465672839
64,69.92645253994228
65,76.33488068163655
66,93.74862374919576
67,96.80679609075032
68,80.67456740641101
69,107.63676243010636
70,84.43458986512948
71,84.76369837083277
72,160.26219340907835
73,72.61327551006278
74,46.956610535082525
75,67.39675206589835
76,88.07831620314192
77,46.76604421076701
78,46.63691223275346
79,46.788923865632604
80,54.90886667082256
81,78.63245724697437
82,83.94519846274699
83,177.40849920637
84,41.09707592484179
85,49.42945059717162
86,55.681710270687496
87,66.95164614259642
88,72.72737617165131
89,81.76608999549643
90,90.38680688564703
91,93.11243952170912
92,96.18307511210556
93,84.41800509405542
94,93.37565778103033
95,81.58389690884484
96,73.09455288403086
97,72.82747487949669
98,69.79830216195552
99,66.79864573241106
100,66.92247127615141
101,64.44273641404654
102,64.50604191702053
103,67.01776832862836
104,64.37229351735927
105,63.97896819072541
106,66.71360103592129
107,95.87222783348687
108,101.92844593953119
109,95.56858930879096
110,81.35865845336784
111,55.25612140008213
112,51.99499347816518
113,146.24738731392497
114,144.45964116087708
115,179.94139858656203
116,182.3113864566489
117,146.33244506738197
118,97.32739372565099
119,113.43823353770847
120,100.63256257688262
121,130.7964662845701
122,106.38590693662904
123,72.64518614724246
124,99.66334010919634
125,73.48542745753758
126,67.38658098300819
127,84.41922813796808
128,81.72817128049867
129,61.69860149192949
130,75.84528844333569
131,76.2222541368933
132,66.88525838363532
133,61.29003465686596
134,75.8368334739685
135,72.85342493765543
136,78.99930944329695
137,205.1171111032242
138,74.8215971218597
139,120.05320592819099
140,46.48049735127687
141,73.21448089389895
142,72.92103946140759
143,72.8976502364384
144,69.85299130269568
145,69.95139490486403
146,69.90499383999864
147,69.80637096580782
148,69.89332820491971
149,69.85720373528014
150,69.9231132600952
151,69.91285005764483
152,69.88221176389155
153,69.99992254551104
154,70.31751888358339
155,72.84958037468118
156,78.65837492952605
157,66.87908005526585
158,76.17139861839625
159,72.85890706415383
160,70.36384931564311
161,70.4075839000165
162,72.9870288938923
163,73.26169075705612
164,76.18372268010204
165,75.8063713689197
166,66.8369427914837
167,82.18645042796295
168,69.874103160074
169,55.51227088496407
170,61.520967838914316
171,66.81747840163173
172,67.2886833403946
173,67.0261206223409
174,52.02352550623462
175,69.6115778640573
176,165.01018427577145
177,55.40283484913533
178,60.92000179214145
179,75.89418296455176
180,91.50319816811147
181,90.29290650095705
182,92.41760631031322
183,105.10448721988621
184,132.66012108485444
185,171.010548104781
186,192.10954821231587
187,193.0945468149204
188,141.92768310107184
189,136.31481822824554
190,138.21466028871032
191,147.1498303827688
192,136.80561149541006
193,137.31317215044004
194,138.8472747990754
195,144.64510559942607
196,136.20511518444806
